index,total,onset,offset,precision,recall,f1,der,work_dir
4705,9801,0.48,0.52,0.5831852885609657,0.5558278218156937,0.5691780115658287,0.8414339365039795,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p52
7975,9801,0.81,0.55,0.6989525803005944,0.48003138724407335,0.5691666485308795,0.7267239987113013,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p55
4712,9801,0.48,0.59,0.5839805411979325,0.5550712026185263,0.5691590097961103,0.840353653210197,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p59
4718,9801,0.48,0.65,0.5846291987342264,0.5544487574133778,0.5691391551146249,0.839479265898203,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p65
7789,9801,0.79,0.67,0.7104505317792144,0.4746931193232349,0.5691225342031945,0.7187716387703275,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p79_offset_0p67
4706,9801,0.48,0.53,0.5832072837845192,0.5557018507622709,0.5691224297820041,0.8414339365039795,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p53
5089,9801,0.52,0.4,0.5843417675072214,0.554630815225822,0.5690987751528525,0.8398932067797502,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p52_offset_0p40
8073,9801,0.82,0.54,0.6986511948925891,0.48005736692132633,0.5690849526034472,0.7270054921452676,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p54
7788,9801,0.79,0.66,0.7092083231956822,0.47519271311104794,0.5690819526993658,0.719647196872112,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p79_offset_0p66
7695,9801,0.78,0.72,0.7212879582342832,0.46990845713188006,0.5690737601783146,0.7116683237294238,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p78_offset_0p72
4710,9801,0.48,0.57,0.5835004087670808,0.5553239376020024,0.5690636060284882,0.841063433405677,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p57
7074,9801,0.72,0.45,0.6486419204035769,0.5068766264252383,0.5690630051321202,0.767689651903299,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p72_offset_0p45
7971,9801,0.81,0.51,0.692384299978755,0.4829956787927243,0.5690391720015551,0.7315918758985349,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p51
7397,9801,0.75,0.71,0.7101839488242662,0.4746728750339438,0.5690224337716512,0.7190344292078915,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p71
7396,9801,0.75,0.7,0.7088942557448075,0.4752501781415947,0.5690220072572545,0.7199101799712874,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p70
5288,9801,0.54,0.41,0.5885728461349619,0.5507221705600938,0.5690187538895165,0.8342464135188931,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p54_offset_0p41
4713,9801,0.48,0.6,0.5839554515676181,0.5548266705736465,0.5690185201491963,0.8404648041396876,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p60
7591,9801,0.77,0.67,0.7062532981820174,0.47642081232092925,0.56900504887373,0.7217333664375384,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p67
7075,9801,0.72,0.46,0.6513140490340336,0.5051278518012505,0.5689812280217539,0.7652962018882646,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p72_offset_0p46
4717,9801,0.48,0.64,0.5844233091928968,0.554322786359955,0.5689752235914057,0.8398497689965054,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p64
4708,9801,0.48,0.55,0.5831696320903709,0.5554499086554252,0.5689723516655015,0.8415673176193685,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p55
7195,9801,0.73,0.67,0.6978364413531731,0.4802731849760876,0.5689659481441129,0.7276853653306528,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p73_offset_0p67
7590,9801,0.77,0.66,0.7050345061782487,0.47692040610874237,0.5689647540896435,0.7226089245393229,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p66
4709,9801,0.48,0.56,0.5832720430860708,0.5553313476639683,0.5689588707940403,0.8414339365039797,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p56
5982,9801,0.61,0.42,0.6069323276694747,0.5354566796736473,0.568958501651415,0.8113212082686984,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p61_offset_0p42
7982,9801,0.81,0.62,0.7090993827979826,0.47504615690548346,0.5689417818464904,0.7198365684157164,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p62
7969,9801,0.81,0.49,0.6877672056058077,0.4851107994702518,0.5689309502214054,0.7351199694219349,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p49
